first_name,last_name,email,city,country,signup_date
Matthew,Moore,patrick60@example.org,South Deborah,Tanzania,2025-06-02
Sara,Obrien,nicholas57@example.com,Bakerville,Nepal,2025-11-09
Michael,Oconnell,cruzmeagan@example.net,Galvanfort,Kenya,2024-12-24
Jeffrey,Boone,dsweeney@example.org,South Eric,Japan,2025-02-24
Jacqueline,Flynn,mikejefferson@example.net,Jonathanport,Saudi Arabia,2025-01-25
Sandra,Clark,kimberly93@example.org,Alexanderport,Ethiopia,2025-07-02
Matthew,Ramos,stevensedward@example.net,Lake Franciscochester,Saint Vincent and the Grenadines,2026-02-03
Abigail,Hill,tthomas@example.net,Adrienneland,Cote d'Ivoire,2025-12-16
Andrew,Wade,tsanchez@example.net,New Josephchester,Cape Verde,2025-09-27
Shawn,Sanford,carrie58@example.com,Caseymouth,Guyana,2024-10-29
Mark,Garrett,mbennett@example.net,New Stephen,Gambia,2026-06-06
Adrian,Valdez,geraldwilliams@example.com,Ramirezfurt,Moldova,2025-05-22
Gordon,Jones,aandrews@example.com,East Michael,Togo,2024-10-15
Joseph,Duarte,catherine63@example.org,Lisaside,Germany,2026-01-10
Amy,Houston,mooredeborah@example.org,Jillstad,Kazakhstan,2025-06-27
Timothy,Mccarthy,brandiwallace@example.org,South Kennethfort,Seychelles,2025-11-26
